지역,가맹점명,분류,주소
부산 ,팬레코드,음악,부산 남구 대연5동 329-18번지 1층 
부산 ,동천서점,도서,부산 남구 대연동  1490-11 
광주 ,가든장,숙박,광주 남구 독립로 6-10 (백운동) 
광주 ,프린스모텔,숙박,광주 남구 독립로 9-14 (백운동) 
광주 ,명보스튜디오,미술,광주 남구 방림동 556-1 라인효친상가 201-105 
광주 ,스머프서점,도서,광주 남구 방림동 천변좌로604번길 10 스피드서점 
광주 ,수정서점,도서,광주 남구 백서로 31 (양림동) 
광주 ,빛과사진,미술,광주 남구 백운1동453-11 
광주 ,석산서점,도서,광주 남구 백운로26번길 17 (백운동) 
광주 ,놀숲 광주봉선점,도서,광주 남구 봉선2로 36 (봉선동) 3층 
광주 ,복음사진관,미술,광주 남구 봉선동 999-3 1층 
광주 ,주식회사 수여행사,여행사,광주 광산구 광산로 56-1번지 3층 
광주 ,새날서점,도서,광주광역시 서구  풍암1로 11 
광주 ,나라고속관광,여행사,"광주 남구 서문대로 829, 4층 (주월동) "
광주 ,(주)글로리아북,도서,광주광역시 북구  무등로 237 
광주 ,컴퍼니에이이엔티 주식회사,공연,광주광역시 남구  송암로 60 광주CGI센터 503호
광주 ,송원대학구내서점,도서,광주 남구 송하동  365 
광주 ,문화사진관,미술,광주 남구 월산동 363-44 
광주 ,호남기독백화점,도서,광주 남구 제중로 22 (양림동) 
광주 ,호신대 구내서점,도서,광주 남구 제중로 77(양림동) 
대구 ,가을모텔,숙박,대구 달서구 야외음악당로 217 (두류동) 
대구 ,킴스모텔,숙박,대구 달서구 와룡로9길 20 (본동) 
대구 ,용산대영서점,도서,대구 달서구 용산동 867-11 
대구 ,키다리영어샵,도서,대구 달서구 월곡로 266 (상인동) 
대구 ,큐(Q)모텔,숙박,대구 달서구 월배로34길 22 (상인동) 
대구 ,뉴욕모텔,숙박,대구 달서구 월배로85길 21 (송현동) 
대구 ,드림책서점,도서,대구 달서구 장기동  537-5 
대구 ,(주)렌트카엠,교통수단,대구 달서구 달구벌대로 1427 
대구 ,다솜서점,도서,대구 달서구 장기로22길 59 (성당동) 
대구 ,21C 서점,도서,대구 달서구 진천로 114 (대천동) 
대구 ,(주)햇빛나들이,여행사,대구 달서구 송현로 113 종합상사 208호 
대전 ,신광서점,도서,대전 동구 대동  184-3 
대전 ,파인파크,숙박,대전 동구 대전로807번길 13 (중동) 
대전 ,주식회사늘행복한세상,공연,대전 동구 동서대로 1711 (용전동) 
대전 ,샵모텔,숙박,대전 동구 동서대로 1715-9 
대전 ,온천파크,숙박,대전 동구 동서대로1683번길 56-15 
대전 ,라운지모텔,숙박,대전 동구 동서대로1705번길 42 (용전동) 
대전 ,㈜우성렌트카,교통수단,대전 동구 산내로 1267 
대전 ,대견서점,도서,대전 동구 삼성동 283-31 
대전 ,삼일스튜디오,미술,대전 동구 삼성동 352-17 
대전 ,여학생서점,도서,대전 동구 소제동  308-6호 
