지역,가맹점명,분류,주소
서울,M모텔,숙박,서울 관악구 남현동  1060-8 
서울,조명여행사,여행사,"서울 마포구 동교동154-2,  2층 "
서울,명성스튜디오,미술,서울 마포구 월드컵북로5가길 17 
서울,더드림북,도서,서울 서대문구 가재울로10길 23-7(남가좌동) 
서울,충현동주민자치위원회,문화체험,서울특별시 서대문구  경기대로 40 충현동 자치회관 
서울,캠퍼스 모텔,숙박,서울 서대문구 연세로2나길 3(창천동) 
서울,놀숲 신촌점,도서,"서울 서대문구 명물길 37, 지하1층 "
서울,현스튜디오,미술,서울 서대문구 북가좌동 309-1 
서울,(주)에스에이커뮤니케이션,공연,서울특별시 영등포구  국회대로 800 진미파라곤 325호
서울,주식회사 투어러시아,여행사,서울 마포구 마포대로 19 신화빌딩 606호 
서울,(주) 시온투어,여행사,서울 마포구 마포동 마포대로 15 현대빌딩   604호 
서울,한국파룬따파학회,공연,서울 마포구 만리재로 14 르네상스타워 808호 
서울,상암누리문고,도서,서울특별시 마포구  월드컵북로 396 누리꿈스퀘어 지하1층 1093호
서울,마포구 고용복지지원센터,문화체험,서울특별시 마포구  매봉산로 18 마포창업복지관 
서울,명동사진관,미술,서울 마포구 백범로 199 제지1층제비116호 
서울,마포문화원,미술,서울특별시 마포구  백범로 227 공덕동자치회관 마포문화원
서울,스튜디오홍대,미술,서울 마포구 상수동 72-1 홍익대학교홍문관지하2층 RB206-1 
서울,호텔비엔더블유(BNW),숙박,서울 송파구 오금로11길 23-13 
서울,세륜서점,도서,서울 송파구 오금로31길 13 상가1층 (방이1동) 
서울,액터스테이지 담쟁이,공연,"서울 송파구 오금로46길 42, 3층 (가락동) "
서울,롯데호텔(잠실),숙박,서울 송파구 올림픽로 240 롯데호텔월드 (잠실동) 
서울,핫트랙스 잠실점,음악,서울 송파구 올림픽로 269 롯데캐슬골드 지하1층 교보문고 
서울,(주)롯데월드 아쿠아리움,관광지,서울 송파구 올림픽로 300  
서울,알라딘 중고서점 잠실롯데월드타워점,도서,서울특별시 송파구  올림픽로 305 잠실역8호선 지하 1층 10번 출구 나가는 길
서울,북스토어 무근검,도서,서울특별시 송파구  올림픽로4길 17 아시아선수촌아파트 상가 A-311호
서울,식스티 모텔,숙박,서울 송파구 올림픽로12길 4-12 식스티디자인모텔 (잠실동) 
서울,더함 뮤지움 샵,도서,서울 송파구 위례성대로 71 
서울,한태금 사진관,미술,서울 송파구 오금동 77-13 1층 
서울,비앙스튜디오&스토리북,미술,서울 서초구 잠원동 37-8번지 지하 2층 
서울,삼정호텔,숙박,서울 강남구 봉은사로 150 (역삼동) 
서울,SK네트웍스(주)카티즌,교통수단,서울 강남구 봉은사로 503 (삼성동) 
서울,포토하우스,미술,서울 강남구 봉은사로29길 6-12 지하1층 
서울,로즈마리,숙박,서울 송파구 잠실동  184-16 
서울,개구리서적 잠실점,도서,서울특별시 송파구  올림픽로 119 잠실파인애플상가 165호
서울,리츠,숙박,서울 강남구  도산대로1길 61 (신사동) 
서울,하나투어(주)강남예약센터투어온,여행사,서울 강남구 강남대로 438 스타플렉스 208호 (역삼동) 
서울,쥬시 스튜디오(JUCY STUDIO),미술,서울 강남구 강남대로132길 36 B102 
서울,청담필컴퍼니,미술,서울 강남구 강남대로136길 7 관영빌딩 지층 
서울,스튜디오더함,미술,서울 강남구 삼성동 37-8 동은빌딩2층 
서울,뽀샵천국,미술,서울 광진구 동일로20길 103 (자양동) 
서울,아미가,숙박,서울 광진구 면목로 33 아미가모텔 (군자동) 
서울,놀숲 건대점,도서,서울 광진구 아차산로 224(자양동) 3층 
서울,(주)유쾌한여행,여행사,서울 광진구 아차산로78길 110 리버힐오피스텔 303호 
서울,비마이카 주식회사,교통수단,서울 광진구 아차산로 355 3층  
